,Count
Coffee Shop,227
Fast Food Restaurant,147
Grocery Store,102
Pizza Place,100
Sandwich Place,94
Pub,89
Convenience Store,78
Vietnamese Restaurant,74
Pharmacy,67
Liquor Store,59
Park,59
Hotel,51
Restaurant,49
American Restaurant,46
Chinese Restaurant,37
Italian Restaurant,36
Café,34
Breakfast Spot,33
Sushi Restaurant,33
Gym,32
Sporting Goods Shop,32
Asian Restaurant,31
Golf Course,31
Burger Joint,31
Pet Store,30
Bank,29
Clothing Store,27
Gym / Fitness Center,26
Bar,25
Japanese Restaurant,25
Furniture / Home Store,24
Mexican Restaurant,23
Steakhouse,23
Indian Restaurant,21
Brewery,20
Bakery,20
Sports Bar,20
Electronics Store,19
Diner,19
Gas Station,18
Shopping Mall,18
Gastropub,17
Arts & Crafts Store,15
Department Store,15
Korean Restaurant,14
Light Rail Station,13
Ice Cream Shop,13
Yoga Studio,13
Juice Bar,13
Bookstore,13
Smoothie Shop,12
Seafood Restaurant,12
Discount Store,12
Rental Car Location,11
Tea Room,11
Hockey Arena,11
Salon / Barbershop,11
Greek Restaurant,11
Airport Terminal,10
Food & Drink Shop,10
Skating Rink,10
Mediterranean Restaurant,10
Middle Eastern Restaurant,10
Paper / Office Supplies Store,10
Cosmetics Shop,10
BBQ Joint,9
Toy / Game Store,9
Wine Shop,9
Theater,9
Lake,9
Deli / Bodega,9
Trail,9
Health & Beauty Service,8
Movie Theater,8
Athletics & Sports,8
Dog Run,8
Shoe Store,8
Food Court,7
Spa,7
Thai Restaurant,7
Miscellaneous Shop,6
Gourmet Shop,6
Farmers Market,6
Music Store,6
French Restaurant,6
Lounge,6
Scenic Lookout,6
Women's Store,6
Inn,6
Intersection,6
Gift Shop,6
Concert Hall,6
Falafel Restaurant,6
Thrift / Vintage Store,5
Exhibit,5
Event Space,5
Snack Place,5
Noodle House,5
Hardware Store,5
Warehouse Store,5
Train Station,5
Big Box Store,5
History Museum,5
Hobby Shop,4
Performing Arts Venue,4
Dessert Shop,4
Men's Store,4
Market,4
Pool,4
Home Service,4
Video Game Store,4
Supermarket,4
Brazilian Restaurant,4
Massage Studio,4
Playground,4
Casino,4
Music Venue,4
Recreation Center,4
Comic Shop,4
Wine Bar,4
Kids Store,4
Museum,4
Automotive Shop,4
Airport Lounge,4
Fried Chicken Joint,4
Cocktail Bar,4
Wings Joint,4
Dance Studio,4
Filipino Restaurant,4
Bowling Alley,4
Airport Service,4
Frozen Yogurt Shop,4
Auto Garage,3
Bubble Tea Shop,3
Garden Center,3
Bagel Shop,3
New American Restaurant,3
Dim Sum Restaurant,3
Vegetarian / Vegan Restaurant,3
Ski Area,3
Boutique,3
Nightclub,3
Smoke Shop,3
Business Service,3
Racetrack,3
Mobile Phone Shop,3
Airport,3
Optical Shop,3
Jewelry Store,3
River,2
Baseball Field,2
Karaoke Bar,2
Tapas Restaurant,2
Bus Station,2
Auto Dealership,2
Luggage Store,2
Video Store,2
School,2
Motorcycle Shop,2
Comedy Club,2
Plaza,2
Office,2
Cupcake Shop,2
Board Shop,2
Soccer Field,2
Theme Park,2
Forest,2
Water Park,2
General Entertainment,2
Science Museum,2
Record Shop,2
Other Great Outdoors,2
Candy Store,2
Lingerie Store,2
Stables,2
Food Truck,2
Construction & Landscaping,2
Supplement Shop,2
Camera Store,2
Building,2
Stadium,2
Southern / Soul Food Restaurant,2
Hockey Rink,2
Moroccan Restaurant,2
Art Gallery,2
Library,2
Advertising Agency,1
Event Service,1
Paintball Field,1
Used Bookstore,1
Belgian Restaurant,1
Rental Service,1
Beer Garden,1
Beer Store,1
College Gym,1
Bistro,1
Argentinian Restaurant,1
Hookah Bar,1
Ethiopian Restaurant,1
Road,1
Residential Building (Apartment / Condo),1
ATM,1
Harbor / Marina,1
Hot Dog Joint,1
Scandinavian Restaurant,1
Gun Shop,1
Medical Center,1
Pier,1
Piano Bar,1
Fabric Shop,1
Latin American Restaurant,1
Indie Movie Theater,1
Indonesian Restaurant,1
Hong Kong Restaurant,1
Gluten-free Restaurant,1
Multiplex,1
Flea Market,1
Shipping Store,1
Tennis Court,1
Bridal Shop,1
Swiss Restaurant,1
Hostel,1
Border Crossing,1
Dry Cleaner,1
Climbing Gym,1
Garden,1
Neighborhood,1
Photography Lab,1
Beach,1
Laser Tag,1
Eastern European Restaurant,1
Farm,1
Island,1
Indoor Play Area,1
Locksmith,1
Bus Stop,1
Donut Shop,1
Zoo,1
Food,1
Professional & Other Places,1
Mattress Store,1
African Restaurant,1
Gym Pool,1
Portuguese Restaurant,1
Elementary School,1
Cheese Shop,1
Boat or Ferry,1
Baseball Stadium,1
Irish Pub,1
Tattoo Parlor,1
IT Services,1
Country Dance Club,1
Ramen Restaurant,1
Shabu-Shabu Restaurant,1
Student Center,1
Tanning Salon,1
Costume Shop,1
Outdoors & Recreation,1
Skate Park,1
Cajun / Creole Restaurant,1
Football Stadium,1
Carpet Store,1
Peruvian Restaurant,1
